Date,Region,Warehouse Capacity,Current Stock Level
2024/1/14,Zhejiang,44171,30075
2024/1/15,Zhejiang,34795,8936
2024/1/16,Zhejiang,23466,44032
2024/1/17,Zhejiang,33949,18511
2024/1/18,Zhejiang,10173,5522
2024/1/19,Zhejiang,40506,25506
2024/1/20,Zhejiang,28411,34753
2024/1/21,Zhejiang,40388,24901
2024/1/22,Zhejiang,36715,18153
2024/1/23,Zhejiang,33122,41256
2024/1/24,Zhejiang,11273,27499
2024/1/25,Zhejiang,33058,33345
2024/1/26,Zhejiang,37262,36645
2024/1/27,Zhejiang,33358,29193
2024/1/28,Zhejiang,12401,37713
2024/1/29,Zhejiang,31305,25826
2024/1/30,Zhejiang,24908,14598
2024/1/31,Zhejiang,34216,16394
2024/2/1,Zhejiang,48584,37781
2024/2/2,Zhejiang,23869,8574
2024/2/3,Zhejiang,15001,28477
2024/2/4,Zhejiang,13943,13446
2024/2/5,Zhejiang,23312,14844
2024/2/6,Zhejiang,16669,9087
2024/2/7,Zhejiang,26061,23257
2024/2/8,Zhejiang,18341,31179
2024/2/9,Zhejiang,14948,26102
2024/2/10,Zhejiang,44892,10519
2024/2/11,Zhejiang,17595,17711
2024/2/12,Zhejiang,19155,34067
2024/2/13,Zhejiang,31209,40399
2024/2/14,Zhejiang,28320,33210
2024/2/15,Zhejiang,23318,31968
2024/2/16,Zhejiang,37236,8722
2024/2/17,Zhejiang,13839,40771
2024/2/18,Zhejiang,24243,17173
2024/2/19,Zhejiang,10437,38037
2024/2/20,Zhejiang,20846,36867
2024/2/21,Zhejiang,33087,43865
2024/2/22,Zhejiang,27289,30119
2024/2/23,Zhejiang,32600,14241
2024/2/24,Zhejiang,32732,5050
2024/2/25,Zhejiang,43987,32416
2024/2/26,Zhejiang,47503,21208
2024/2/27,Zhejiang,11458,22697
2024/2/28,Zhejiang,35981,6192
2024/3/1,Zhejiang,28296,13102
2024/3/2,Zhejiang,35405,15101
2024/3/3,Zhejiang,11151,17292
2024/3/4,Zhejiang,20371,42634
2024/3/5,Zhejiang,33797,14824
2024/3/6,Zhejiang,42086,7659
2024/3/7,Zhejiang,26935,40563
2024/3/8,Zhejiang,36073,43590
2024/3/9,Zhejiang,25132,40876
2024/3/10,Zhejiang,15067,17191
2024/3/11,Zhejiang,32557,10419
2024/3/12,Zhejiang,49331,11431
2024/3/13,Zhejiang,49765,24833
2024/3/14,Zhejiang,28807,43552
2024/3/15,Zhejiang,32102,15905
2024/3/16,Zhejiang,44371,11546
2024/3/17,Zhejiang,41466,7827
2024/3/18,Zhejiang,39954,26938
2024/3/19,Zhejiang,32561,27158
2024/3/20,Zhejiang,25640,31587
2024/3/21,Zhejiang,29487,9301
2024/3/22,Zhejiang,32671,13614
2024/3/23,Zhejiang,42965,35141
2024/3/24,Zhejiang,33835,40612
2024/3/25,Zhejiang,49415,44328
2024/3/26,Zhejiang,43625,26036
2024/3/27,Zhejiang,14361,18707
2024/3/28,Zhejiang,19877,23202
2024/3/29,Zhejiang,12131,23777
2024/3/30,Zhejiang,18523,19267
2024/3/31,Zhejiang,37168,41484
2024/4/1,Zhejiang,16362,21487
2024/4/2,Zhejiang,49836,31228
2024/4/3,Zhejiang,38490,14050
2024/4/4,Zhejiang,38745,13838
2024/4/5,Zhejiang,33828,27676
2024/4/6,Zhejiang,16779,21795
2024/4/7,Zhejiang,26561,8583
2024/4/8,Zhejiang,18167,22964
2024/4/9,Zhejiang,43474,8954
2024/4/10,Zhejiang,41316,16752
2024/4/11,Zhejiang,34767,44411
2024/4/12,Zhejiang,12157,5254
2024/4/13,Zhejiang,36487,24866
2024/4/14,Zhejiang,28340,23781
2024/4/15,Zhejiang,14886,5874
2024/4/16,Zhejiang,29590,11161
2024/4/17,Zhejiang,32144,10630
2024/4/18,Zhejiang,46244,29730
2024/4/19,Zhejiang,38330,20205
2024/4/20,Zhejiang,33438,7695
2024/4/21,Zhejiang,41490,5805
2024/4/22,Zhejiang,21794,38046
2024/4/23,Zhejiang,26838,26723
2024/4/24,Zhejiang,11321,38503
2024/4/25,Zhejiang,20911,5235
2024/4/26,Zhejiang,10387,14349
2024/4/27,Zhejiang,16865,7746
2024/4/28,Zhejiang,11390,6610
2024/4/29,Zhejiang,18933,25919
2024/4/30,Zhejiang,12320,42744
2024/5/1,Zhejiang,40228,10780
2024/5/2,Zhejiang,30562,37165
2024/5/3,Zhejiang,32444,42621
2024/5/4,Zhejiang,37078,19703
2024/5/5,Zhejiang,13997,6502
2024/5/6,Zhejiang,16865,30597
2024/5/7,Zhejiang,40799,35028
2024/5/8,Zhejiang,42786,8453
2024/5/9,Zhejiang,49221,41829
2024/5/10,Zhejiang,42997,13875
2024/5/11,Zhejiang,48914,7598
2024/5/12,Zhejiang,14345,33972
2024/5/13,Zhejiang,49785,28478
2024/5/14,Zhejiang,26770,13772
2024/5/15,Zhejiang,10019,24504
2024/5/16,Zhejiang,29294,22947
2024/5/17,Zhejiang,47729,30964
2024/5/18,Zhejiang,13980,44285
2024/5/19,Zhejiang,36184,10376
2024/5/20,Zhejiang,36679,34118
2024/5/21,Zhejiang,36890,13727
2024/5/22,Zhejiang,19295,15933
2024/5/23,Zhejiang,40734,17581
2024/5/24,Zhejiang,21034,30785
2024/5/25,Zhejiang,44673,35223
2024/5/26,Zhejiang,39525,43735
2024/5/27,Zhejiang,33769,43873
2024/5/28,Zhejiang,42957,12033
2024/5/29,Zhejiang,31267,8794
2024/5/30,Zhejiang,14100,12620
2024/5/31,Zhejiang,35196,31989
2024/6/1,Zhejiang,48604,35712
2024/6/2,Zhejiang,14731,15751
2024/6/3,Zhejiang,15791,24744
2024/6/4,Zhejiang,42310,20532
2024/6/5,Zhejiang,18008,20633
2024/6/6,Zhejiang,33437,27382
2024/6/7,Zhejiang,40377,6062
2024/6/8,Zhejiang,23693,8032
2024/6/9,Zhejiang,22249,11175
2024/6/10,Zhejiang,18774,24814
2024/6/11,Zhejiang,40069,30933
2024/6/12,Zhejiang,12038,36855
2024/6/13,Zhejiang,13731,33892
2024/6/14,Zhejiang,35922,32377
2024/6/15,Zhejiang,28172,23507
2024/6/16,Zhejiang,13287,37928
2024/6/17,Zhejiang,41697,10006
2024/6/18,Zhejiang,36486,27156
2024/6/19,Zhejiang,29783,14543
2024/6/20,Zhejiang,26622,13597
2024/6/21,Zhejiang,48116,19143
2024/6/22,Zhejiang,23712,43399
2024/6/23,Zhejiang,45892,19230
2024/6/24,Zhejiang,16227,12712
2024/6/25,Zhejiang,39179,36895
2024/6/26,Zhejiang,43847,29871
2024/6/27,Zhejiang,21258,41289
2024/6/28,Zhejiang,20637,39610
2024/6/29,Zhejiang,12511,29742
2024/1/1,Jiangsu,27246,22605
2024/1/2,Jiangsu,43534,25054
2024/1/3,Jiangsu,13133,23373
2024/1/4,Jiangsu,10646,16528
2024/1/5,Jiangsu,44601,34750
2024/1/6,Jiangsu,20103,36213
2024/1/7,Jiangsu,43165,34324
2024/1/8,Jiangsu,12174,32855
2024/1/9,Jiangsu,12213,9199
2024/1/10,Jiangsu,10633,20331
2024/1/11,Jiangsu,28317,22319
2024/1/12,Jiangsu,30794,5856
2024/1/13,Jiangsu,35104,8129
2024/1/14,Jiangsu,47860,26380
2024/1/15,Jiangsu,31236,26552
2024/1/16,Jiangsu,40472,36539
2024/1/17,Jiangsu,37766,12438
2024/1/18,Jiangsu,31739,35564
2024/1/19,Jiangsu,48031,22158
2024/1/20,Jiangsu,32215,26872
2024/1/21,Jiangsu,26456,33843
2024/1/22,Jiangsu,24410,27794
2024/1/23,Jiangsu,40248,15617
2024/1/24,Jiangsu,29352,43806
2024/1/25,Jiangsu,16296,21099
2024/1/26,Jiangsu,10763,27691
2024/1/27,Jiangsu,15750,32255
2024/1/28,Jiangsu,35515,34339
2024/1/29,Jiangsu,31508,32911
2024/1/30,Jiangsu,41815,38955
2024/1/31,Jiangsu,20112,18518
2024/2/1,Jiangsu,42818,14935
2024/2/2,Jiangsu,36861,23338
2024/2/3,Jiangsu,12677,36400
2024/2/4,Jiangsu,37395,16360
2024/2/5,Jiangsu,39539,42966
2024/2/6,Jiangsu,14534,27938
2024/2/7,Jiangsu,46922,29804
2024/2/8,Jiangsu,30775,38441
2024/2/9,Jiangsu,27390,37531
2024/2/10,Jiangsu,35900,25075
2024/2/11,Jiangsu,23115,27898
2024/2/12,Jiangsu,48331,17316
2024/2/13,Jiangsu,31036,31419
2024/2/14,Jiangsu,10777,20792
2024/2/15,Jiangsu,27584,36674
2024/2/16,Jiangsu,19769,14262
2024/2/17,Jiangsu,29446,12517
2024/2/18,Jiangsu,30767,7207
2024/2/19,Jiangsu,21328,31242
2024/2/20,Jiangsu,43678,5000
2024/2/21,Jiangsu,33193,11839
2024/2/22,Jiangsu,39371,8104
2024/2/23,Jiangsu,37035,19827
2024/2/24,Jiangsu,12783,23638
2024/2/25,Jiangsu,39553,31671
2024/2/26,Jiangsu,28694,14690
2024/2/27,Jiangsu,38030,35974
2024/2/28,Jiangsu,17736,38601
2024/3/1,Jiangsu,22502,42520
2024/3/2,Jiangsu,28260,28581
2024/3/3,Jiangsu,11718,23786
2024/3/4,Jiangsu,12877,25571
2024/3/5,Jiangsu,12745,36451
2024/3/6,Jiangsu,20563,38460
2024/3/7,Jiangsu,49376,44216
2024/3/8,Jiangsu,16256,23953
2024/3/9,Jiangsu,41200,12811
2024/3/10,Jiangsu,35394,14277
2024/3/11,Jiangsu,10853,44259
2024/3/12,Jiangsu,37111,29820
2024/3/13,Jiangsu,18910,26218
2024/3/14,Jiangsu,37296,7729
2024/3/15,Jiangsu,37278,27445
2024/3/16,Jiangsu,13139,31880
2024/3/17,Jiangsu,14565,24854
2024/3/18,Jiangsu,39756,42248
2024/3/19,Jiangsu,39450,27838
2024/3/20,Jiangsu,47763,33707
2024/3/21,Jiangsu,43720,20592
2024/3/22,Jiangsu,44825,17801
2024/3/23,Jiangsu,23542,10554
2024/3/24,Jiangsu,31640,30883
2024/3/25,Jiangsu,37152,20977
2024/3/26,Jiangsu,37125,29246
2024/3/27,Jiangsu,26487,41470
2024/3/28,Jiangsu,31833,11832
2024/3/29,Jiangsu,38689,41947
2024/3/30,Jiangsu,47565,14652
2024/3/31,Jiangsu,21430,27043
2024/4/1,Jiangsu,26154,17668
2024/4/2,Jiangsu,39592,38817
2024/4/3,Jiangsu,23572,34467
2024/4/4,Jiangsu,48667,44379
2024/4/5,Jiangsu,30804,17919
2024/4/6,Jiangsu,10280,22515
2024/4/7,Jiangsu,10877,38341
2024/4/8,Jiangsu,10574,43878
2024/4/9,Jiangsu,21327,13873
2024/4/10,Jiangsu,28344,7266
2024/4/11,Jiangsu,28587,27005
2024/4/12,Jiangsu,20980,9218
2024/4/13,Jiangsu,37910,33607
2024/4/14,Jiangsu,35301,37573
2024/4/15,Jiangsu,16064,44731
2024/4/16,Jiangsu,42114,7423
2024/4/17,Jiangsu,13811,34450
2024/4/18,Jiangsu,47683,20001
2024/4/19,Jiangsu,23894,11234
2024/4/20,Jiangsu,21833,21188
2024/4/21,Jiangsu,29644,26861
2024/4/22,Jiangsu,32511,12089
2024/4/23,Jiangsu,10708,17298
2024/4/24,Jiangsu,14912,6512
2024/4/25,Jiangsu,33699,39010
2024/4/26,Jiangsu,33527,23149
2024/4/27,Jiangsu,41886,17886
2024/4/28,Jiangsu,33320,15615
2024/4/29,Jiangsu,46709,19420
2024/4/30,Jiangsu,32425,15624
2024/5/1,Jiangsu,45906,12098
2024/5/2,Jiangsu,36209,18858
2024/5/3,Jiangsu,49401,12054
2024/5/4,Jiangsu,13682,41463
2024/5/5,Jiangsu,10166,33881
2024/5/6,Jiangsu,29362,44527
2024/5/7,Jiangsu,46371,25374
2024/5/8,Jiangsu,34938,26321
2024/5/9,Jiangsu,38070,17287
2024/5/10,Jiangsu,36407,35551
2024/5/11,Jiangsu,22461,30141
2024/5/12,Jiangsu,44941,21435
2024/5/13,Jiangsu,47569,21037
2024/5/14,Jiangsu,42517,14184
2024/5/15,Jiangsu,24943,24967
2024/5/16,Jiangsu,26251,26009
2024/5/17,Jiangsu,42452,9769
2024/5/18,Jiangsu,37253,35767
2024/5/19,Jiangsu,28319,13693
2024/5/20,Jiangsu,40518,37831
2024/5/21,Jiangsu,34418,14713
2024/5/22,Jiangsu,34792,27152
2024/5/23,Jiangsu,34308,33921
2024/5/24,Jiangsu,11757,28896
2024/5/25,Jiangsu,10138,29562
2024/5/26,Jiangsu,29863,38290
2024/5/27,Jiangsu,46995,33411
2024/5/28,Jiangsu,44239,42734
2024/5/29,Jiangsu,44356,28558
2024/5/30,Jiangsu,19258,23695
2024/5/31,Jiangsu,19879,44759
2024/6/1,Jiangsu,33249,9049
2024/6/2,Jiangsu,31606,20037
2024/6/3,Jiangsu,35171,18411
2024/6/4,Jiangsu,47079,36051
2024/6/5,Jiangsu,32396,42913
2024/6/6,Jiangsu,34087,41545
2024/6/7,Jiangsu,17931,30656
2024/6/8,Jiangsu,39942,21005
2024/6/9,Jiangsu,44036,12122
2024/6/10,Jiangsu,43345,18832
2024/6/11,Jiangsu,24713,36975
2024/6/12,Jiangsu,32733,7959
2024/6/13,Jiangsu,47426,33617
2024/6/14,Jiangsu,48367,26055
2024/6/15,Jiangsu,26489,14110
2024/6/16,Jiangsu,38997,35369
2024/6/17,Jiangsu,43560,26176
2024/6/18,Jiangsu,32835,19899
2024/6/19,Jiangsu,21924,39311
2024/6/20,Jiangsu,16064,42091
2024/6/21,Jiangsu,42344,24885
2024/6/22,Jiangsu,11451,12358
2024/6/23,Jiangsu,38729,5097
2024/6/24,Jiangsu,19251,27281
2024/6/25,Jiangsu,28212,25461
2024/6/26,Jiangsu,20689,17918
2024/6/27,Jiangsu,10314,43394
2024/6/28,Jiangsu,20222,27823
2024/6/29,Jiangsu,39003,20076
2024/1/1,Sichuan,34803,33921
2024/1/2,Sichuan,18543,27281
2024/1/3,Sichuan,32210,10063
2024/1/4,Sichuan,37624,18903
2024/1/5,Sichuan,42233,42292
2024/1/6,Sichuan,24426,9267
2024/1/7,Sichuan,16777,20450
2024/1/8,Sichuan,14437,42154
2024/1/9,Sichuan,13730,31847
2024/1/10,Sichuan,27320,38036
2024/1/11,Sichuan,45933,14436
2024/1/12,Sichuan,12134,31842
2024/1/13,Sichuan,19506,11204
2024/1/14,Sichuan,36567,43544
2024/1/15,Sichuan,42943,18207
2024/1/16,Sichuan,18834,42012
2024/1/17,Sichuan,43246,32080
2024/1/18,Sichuan,28165,36755
2024/1/19,Sichuan,47821,15683
2024/1/20,Sichuan,41327,36273
2024/1/21,Sichuan,46823,29035
2024/1/22,Sichuan,20904,11930
2024/1/23,Sichuan,37134,31504
2024/1/24,Sichuan,39788,5710
2024/1/25,Sichuan,29321,17761
2024/1/26,Sichuan,30951,26354
2024/1/27,Sichuan,47644,16805
2024/1/28,Sichuan,11292,11430
2024/1/29,Sichuan,12397,26549
2024/1/30,Sichuan,38571,25497
2024/1/31,Sichuan,34421,17533
2024/2/1,Sichuan,48736,34600
2024/2/2,Sichuan,40151,43378
2024/2/3,Sichuan,28932,12960
2024/2/4,Sichuan,23601,14059
2024/2/5,Sichuan,21194,5906
2024/2/6,Sichuan,20890,38605
2024/2/7,Sichuan,41947,23285
2024/2/8,Sichuan,40773,35194
2024/2/9,Sichuan,41948,28096
2024/2/10,Sichuan,26831,36908
2024/2/11,Sichuan,18276,25675
2024/2/12,Sichuan,46423,29960
2024/2/13,Sichuan,14662,36222
2024/2/14,Sichuan,39710,40023
2024/2/15,Sichuan,48047,8396
2024/2/16,Sichuan,10944,40283
2024/2/17,Sichuan,22554,17159
2024/2/18,Sichuan,29135,26436
2024/2/19,Sichuan,44474,11807
2024/2/20,Sichuan,17812,25912
2024/2/21,Sichuan,37579,32527
2024/2/22,Sichuan,18514,39094
2024/2/23,Sichuan,20701,40556
2024/2/24,Sichuan,34086,34343
2024/2/25,Sichuan,28095,42573
2024/2/26,Sichuan,44633,5977
2024/2/27,Sichuan,36759,22326
2024/2/28,Sichuan,33907,26062
2024/3/1,Sichuan,47519,25843
2024/3/2,Sichuan,20272,31750
2024/3/3,Sichuan,26166,27568
2024/3/4,Sichuan,20548,41276
2024/3/5,Sichuan,26279,38259
2024/3/6,Sichuan,36633,6599
2024/3/7,Sichuan,17532,15576
2024/3/8,Sichuan,17204,37399
2024/3/9,Sichuan,45742,43772
2024/3/10,Sichuan,31616,9047
2024/3/11,Sichuan,46301,34263
2024/3/12,Sichuan,11685,18889
2024/3/13,Sichuan,19187,5413
2024/3/14,Sichuan,24737,12666
2024/3/15,Sichuan,10843,42508
2024/3/16,Sichuan,26476,30847
2024/3/17,Sichuan,44666,32116
2024/3/18,Sichuan,48066,41230
2024/3/19,Sichuan,46093,5329
2024/3/20,Sichuan,24226,6081
2024/3/21,Sichuan,11176,12362
2024/3/22,Sichuan,14391,11980
2024/3/23,Sichuan,23290,38092
2024/3/24,Sichuan,39797,31435
2024/3/25,Sichuan,37804,26667
2024/3/26,Sichuan,16956,26984
2024/3/27,Sichuan,36935,11239
2024/3/28,Sichuan,46500,26902
2024/3/29,Sichuan,32709,35517
2024/3/30,Sichuan,25626,30020
2024/3/31,Sichuan,35010,25834
2024/4/1,Sichuan,42660,34076
2024/4/2,Sichuan,16721,15199
2024/4/3,Sichuan,10026,23084
2024/4/4,Sichuan,32140,37233
2024/4/5,Sichuan,45463,6178
2024/4/6,Sichuan,33710,37971
2024/4/7,Sichuan,41502,29407
2024/4/8,Sichuan,22930,20117
2024/4/9,Sichuan,28378,29967
2024/4/10,Sichuan,45300,40099
2024/4/11,Sichuan,10469,14272
2024/4/12,Sichuan,16644,10697
2024/4/13,Sichuan,35860,23738
2024/4/14,Sichuan,33920,42350
2024/4/15,Sichuan,11266,12847
2024/4/16,Sichuan,14946,20043
2024/4/17,Sichuan,17521,13692
2024/4/18,Sichuan,42099,12876
2024/4/19,Sichuan,29467,43078
2024/4/20,Sichuan,21190,11417
2024/4/21,Sichuan,29688,8707
2024/4/22,Sichuan,10903,32848
2024/4/23,Sichuan,14868,41117
2024/4/24,Sichuan,30428,7118
2024/4/25,Sichuan,25479,36766
2024/4/26,Sichuan,25492,36422
2024/4/27,Sichuan,28705,37462
2024/4/28,Sichuan,11248,9164
2024/4/29,Sichuan,16208,29591
2024/4/30,Sichuan,14434,6327
2024/5/1,Sichuan,12148,28660
2024/5/2,Sichuan,22066,27735
2024/5/3,Sichuan,12877,7543
2024/5/4,Sichuan,37064,25360
2024/5/5,Sichuan,37674,6054
2024/5/6,Sichuan,44204,23134
2024/5/7,Sichuan,47082,25918
2024/5/8,Sichuan,27579,26432
2024/5/9,Sichuan,48670,13792
2024/5/10,Sichuan,42474,9451
2024/5/11,Sichuan,36419,40243
2024/5/12,Sichuan,22440,34766
2024/5/13,Sichuan,29165,12285
2024/5/14,Sichuan,16769,35636
2024/5/15,Sichuan,21540,32089
2024/5/16,Sichuan,32714,21280
2024/5/17,Sichuan,37647,13473
2024/5/18,Sichuan,12976,22846
2024/5/19,Sichuan,49251,6216
2024/5/20,Sichuan,48980,19956
2024/5/21,Sichuan,24478,34651
2024/5/22,Sichuan,30145,32790
2024/5/23,Sichuan,27766,27071
2024/5/24,Sichuan,36635,14813
2024/5/25,Sichuan,46855,41152
2024/5/26,Sichuan,38185,41699
2024/5/27,Sichuan,10153,33848
2024/5/28,Sichuan,31875,27622
2024/5/29,Sichuan,35257,9042
2024/5/30,Sichuan,31485,39269
2024/5/31,Sichuan,46860,43273
2024/6/1,Sichuan,25148,21011
2024/6/2,Sichuan,10573,20735
2024/6/3,Sichuan,35902,37730
2024/6/4,Sichuan,21289,37387
2024/6/5,Sichuan,32410,17150
2024/6/6,Sichuan,39332,5014
2024/6/7,Sichuan,27835,29596
2024/6/8,Sichuan,45299,15255
2024/6/9,Sichuan,35396,12360
2024/6/10,Sichuan,46978,16936
2024/6/11,Sichuan,34068,36738
2024/6/12,Sichuan,40882,20533
2024/6/13,Sichuan,28795,12765
2024/6/14,Sichuan,15562,19733
2024/6/15,Sichuan,34514,41230
2024/6/16,Sichuan,40997,26914
2024/6/17,Sichuan,13612,27104
2024/6/18,Sichuan,23722,14759
2024/6/19,Sichuan,24172,35046
2024/6/20,Sichuan,48283,23975
2024/6/21,Sichuan,15906,8013
2024/6/22,Sichuan,14939,14853
2024/6/23,Sichuan,12188,28389
2024/6/24,Sichuan,49802,5350
2024/6/25,Sichuan,44405,34771
2024/6/26,Sichuan,39764,36272
2024/6/27,Sichuan,31261,44219
2024/6/28,Sichuan,30757,30135
2024/6/29,Sichuan,19033,32671
2024/1/1,Chongqing,42805,43895
2024/1/2,Chongqing,17207,22551
2024/1/3,Chongqing,42040,7185
2024/1/4,Chongqing,13292,15884
2024/1/5,Chongqing,46916,14678
2024/1/6,Chongqing,38259,36994
2024/1/7,Chongqing,43984,18899
2024/1/8,Chongqing,29017,28041
2024/1/9,Chongqing,10804,28665
2024/1/10,Chongqing,31512,7231
2024/1/11,Chongqing,24584,27106
2024/1/12,Chongqing,39223,41512
2024/1/13,Chongqing,47669,16804
2024/1/14,Chongqing,29604,7088
2024/1/15,Chongqing,17409,37940
2024/1/16,Chongqing,22687,41319
2024/1/17,Chongqing,17366,22252
2024/1/18,Chongqing,23129,42547
2024/1/19,Chongqing,17646,24302
2024/1/20,Chongqing,11492,11079
2024/1/21,Chongqing,49405,22909
2024/1/22,Chongqing,14204,36515
2024/1/23,Chongqing,15714,39683
2024/1/24,Chongqing,21624,7350
2024/1/25,Chongqing,34955,23868
2024/1/26,Chongqing,41009,26761
2024/1/27,Chongqing,38001,16740
2024/1/28,Chongqing,37989,28729
2024/1/29,Chongqing,38692,44280
2024/1/30,Chongqing,39292,39407
2024/1/31,Chongqing,22254,43010
2024/2/1,Chongqing,46221,7828
2024/2/2,Chongqing,38397,25725
2024/2/3,Chongqing,26053,32445
2024/2/4,Chongqing,18760,26541
2024/2/5,Chongqing,29434,27320
2024/2/6,Chongqing,13209,42675
2024/2/7,Chongqing,31766,30688
2024/2/8,Chongqing,37725,43239
2024/2/9,Chongqing,45650,36085
2024/2/10,Chongqing,26491,21230
2024/2/11,Chongqing,22447,20698
2024/2/12,Chongqing,39010,24610
2024/2/13,Chongqing,42412,5697
2024/2/14,Chongqing,36155,43566
2024/2/15,Chongqing,31257,23547
2024/2/16,Chongqing,43038,30100
2024/2/17,Chongqing,42945,9178
2024/2/18,Chongqing,19138,19994
2024/2/19,Chongqing,28050,11196
2024/2/20,Chongqing,31144,16713
2024/2/21,Chongqing,30282,12173
2024/2/22,Chongqing,18514,7941
2024/2/23,Chongqing,20783,34281
2024/2/24,Chongqing,36816,18325
2024/2/25,Chongqing,20011,13742
2024/2/26,Chongqing,14506,27140
2024/2/27,Chongqing,45536,32100
2024/2/28,Chongqing,28261,13229
2024/3/1,Chongqing,24974,15961
2024/3/2,Chongqing,36635,39161
2024/3/3,Chongqing,20868,6800
2024/3/4,Chongqing,45188,37521
2024/3/5,Chongqing,19917,25111
2024/3/6,Chongqing,14102,30716
2024/3/7,Chongqing,47613,9296
2024/3/8,Chongqing,34801,42139
2024/3/9,Chongqing,17820,30186
2024/3/10,Chongqing,30218,8937
2024/3/11,Chongqing,16571,42463
2024/3/12,Chongqing,26387,27757
2024/3/13,Chongqing,35963,21736
2024/3/14,Chongqing,37199,30157
2024/3/15,Chongqing,12050,9280
2024/3/16,Chongqing,29938,37309
2024/3/17,Chongqing,11893,38781
2024/3/18,Chongqing,44455,40184
2024/3/19,Chongqing,23793,6952
2024/3/20,Chongqing,27427,31101
2024/3/21,Chongqing,39338,5157
2024/3/22,Chongqing,41867,8603
2024/3/23,Chongqing,15006,16491
2024/3/24,Chongqing,22477,43135
2024/3/25,Chongqing,42142,9265
2024/3/26,Chongqing,39219,40890
2024/3/27,Chongqing,20502,13051
2024/3/28,Chongqing,34618,21752
2024/3/29,Chongqing,47176,34518
2024/3/30,Chongqing,35066,41502
2024/3/31,Chongqing,11996,38851
2024/4/1,Chongqing,43978,9244
2024/4/2,Chongqing,33420,5517
2024/4/3,Chongqing,40297,11069
2024/4/4,Chongqing,28937,24311
2024/4/5,Chongqing,37191,12864
2024/4/6,Chongqing,15749,10233
2024/4/7,Chongqing,42635,6004
2024/4/8,Chongqing,24555,36124
2024/4/9,Chongqing,44556,22916
2024/4/10,Chongqing,14773,41148
2024/4/11,Chongqing,27119,31209
2024/4/12,Chongqing,48448,36333
2024/4/13,Chongqing,16229,13997
2024/4/14,Chongqing,49272,7372
2024/4/15,Chongqing,35471,39886
2024/4/16,Chongqing,27633,41915
2024/4/17,Chongqing,47590,6852
2024/4/18,Chongqing,19401,44359
2024/4/19,Chongqing,21056,6650
2024/4/20,Chongqing,29043,6569
2024/4/21,Chongqing,46601,38577
2024/4/22,Chongqing,45781,37858
2024/4/23,Chongqing,10135,27278
2024/4/24,Chongqing,37151,12932
2024/4/25,Chongqing,30284,24713
2024/4/26,Chongqing,35877,29516
2024/4/27,Chongqing,43527,15133
2024/4/28,Chongqing,15410,18610
2024/4/29,Chongqing,38812,13193
2024/4/30,Chongqing,10870,38182
2024/5/1,Chongqing,42132,8982
2024/5/2,Chongqing,18134,20744
2024/5/3,Chongqing,41050,39166
2024/5/4,Chongqing,20781,13663
2024/5/5,Chongqing,31656,33191
2024/5/6,Chongqing,34531,33205
2024/5/7,Chongqing,49349,26616
2024/5/8,Chongqing,33282,11252
2024/5/9,Chongqing,19462,39320
2024/5/10,Chongqing,16965,8509
2024/5/11,Chongqing,15292,21966
2024/5/12,Chongqing,22426,23347
2024/5/13,Chongqing,39219,32320
2024/5/14,Chongqing,13676,23364
2024/5/15,Chongqing,43438,7783
2024/5/16,Chongqing,43506,20475
2024/5/17,Chongqing,28936,23157
2024/5/18,Chongqing,26302,38145
2024/5/19,Chongqing,36103,17970
2024/5/20,Chongqing,30624,11933
2024/5/21,Chongqing,44936,16096
2024/5/22,Chongqing,14161,6109
2024/5/23,Chongqing,38706,6730
2024/5/24,Chongqing,49843,6961
2024/5/25,Chongqing,34068,31798
2024/5/26,Chongqing,44099,7198
2024/5/27,Chongqing,37670,40491
2024/5/28,Chongqing,32015,42925
2024/5/29,Chongqing,31695,9187
2024/5/30,Chongqing,39214,20316
2024/5/31,Chongqing,40930,44433
2024/6/1,Chongqing,16408,26530
2024/6/2,Chongqing,33785,29836
2024/6/3,Chongqing,41713,6238
2024/6/4,Chongqing,48893,16623
2024/6/5,Chongqing,48780,44088
2024/6/6,Chongqing,45439,23851
2024/6/7,Chongqing,45329,38763
2024/6/8,Chongqing,21222,27301
2024/6/9,Chongqing,29566,27332
2024/6/10,Chongqing,32770,13208
2024/6/11,Chongqing,29309,32343
2024/6/12,Chongqing,26926,8363
2024/6/13,Chongqing,37819,42218
2024/6/14,Chongqing,21966,18508
2024/6/15,Chongqing,32920,37944
2024/6/16,Chongqing,17318,7810
2024/6/17,Chongqing,35131,25688
2024/6/18,Chongqing,44074,30759
2024/6/19,Chongqing,21597,12313
2024/6/20,Chongqing,15806,40836
2024/6/21,Chongqing,27541,21118
2024/6/22,Chongqing,37657,32310
2024/6/23,Chongqing,28210,15602
2024/6/24,Chongqing,26820,42207
2024/6/25,Chongqing,35592,35094
2024/6/26,Chongqing,17279,44009
2024/6/27,Chongqing,36310,41255
2024/6/28,Chongqing,34850,24965
2024/6/29,Chongqing,20466,12797
2024/1/1,Fujian,42441,15972
2024/1/2,Fujian,30316,43588
2024/1/3,Fujian,19754,11104
2024/1/4,Fujian,22029,41628
2024/1/5,Fujian,23892,40763
2024/1/6,Fujian,21433,18576
2024/1/7,Fujian,44759,21277
2024/1/8,Fujian,24908,20171
2024/1/9,Fujian,37844,27034
2024/1/10,Fujian,24785,28744
